danbooru_tag,base_tag,is_variant,franchise,post_count
saber_(pure_night_dress)_(fate),saber_(fate),1,Fate,62
koyanskaya_(foreigner)_(second_ascension)_(fate),koyanskaya_(fate),1,Fate,62
artoria_pendragon_(swimsuit_archer)_(second_ascension)_(fate),artoria_pendragon_(fate),1,Fate,62
scathach_(first_ascension)_(fate),scathach_(fate),1,Fate,62
melusine_(final_ascension)_(fate),melusine_(fate),1,Fate,62
baobhan_sith_(over_the_same_sky)_(fate),baobhan_sith_(fate),1,Fate,62
carmilla_(swimsuit_rider)_(first_ascension)_(fate),carmilla_(fate),1,Fate,61
abigail_williams_(event_portrait)_(fate),abigail_williams_(fate),1,Fate,61
fuuma_kotarou_(first_ascension)_(fate),fuuma_kotarou_(fate),1,Fate,61
nero_claudius_(red_lightning)_(fate),nero_claudius_(fate),1,Fate,60
francis_drake_(third_ascension)_(fate),francis_drake_(fate),1,Fate,60
okada_izou_(second_ascension)_(fate),okada_izou_(fate),1,Fate,60
thrud_(swimsuit_assassin)_(fate),thrud_(fate),1,Fate,60
astolfo_(saber)_(second_ascension)_(fate),astolfo_(fate),1,Fate,60
van_gogh_(miner)_(fate),van_gogh_(fate),1,Fate,60
asclepius_(second_ascension)_(fate),asclepius_(fate),1,Fate,60
okada_izou_(dog)_(fate),okada_izou_(fate),1,Fate,59
yui_shousetsu_(second_ascension)_(fate),yui_shousetsu_(fate),1,Fate,59
dante_alighieri_(third_ascension)_(fate),dante_alighieri_(fate),1,Fate,59
morgan_le_fay_(valentine_witches)_(fate),morgan_le_fay_(fate),1,Fate,58
murasaki_shikibu_(third_ascension)_(fate),murasaki_shikibu_(fate),1,Fate,58
kijo_kouyou_(third_ascension)_(fate),kijo_kouyou_(fate),1,Fate,58
tenochtitlan_(event_portrait)_(fate),tenochtitlan_(fate),1,Fate,58
melusine_(exhibition_attire)_(fate),melusine_(fate),1,Fate,58
gawain_(scion_of_summer)_(fate),gawain_(fate),1,Fate,58
lord_logres_(first_ascension)_(fate),lord_logres_(fate),1,Fate,58
demeter_(lostbelt)_(fate),demeter_(fate),1,Fate,58
meltryllis_(second_ascension)_(fate),meltryllis_(fate),1,Fate,57
biscione_(first_ascension)_(fate),biscione_(fate),1,Fate,57
ishtar_(lawson_2018)_(fate),ishtar_(fate),1,Fate,57
dobrynya_nikitich_(first_ascension)_(fate),dobrynya_nikitich_(fate),1,Fate,56
tristan_(chicken_of_luluhawa)_(fate),tristan_(fate),1,Fate,56
saber_(second_ascension)_(fate),saber_(fate),1,Fate,56
ishtar_(fgo_x_lawson_2018)_(fate),ishtar_(fate),1,Fate,56
scathach-skadi_(swimsuit_ruler)_(third_ascension)_(fate),scathach-skadi_(fate),1,Fate,56
kyokutei_bakin_(first_ascension)_(fate),kyokutei_bakin_(fate),1,Fate,55
osakabehime_(swimsuit_archer)_(first_ascension)_(fate),osakabehime_(fate),1,Fate,55
kingprotea_(second_ascension)_(fate),kingprotea_(fate),1,Fate,54
scathach_skadi_(swimsuit_ruler)_(third_ascension)_(fate),scathach_skadi_(fate),1,Fate,54
yu_mei-ren_(spare_the_idle_talk)_(fate),yu_mei-ren_(fate),1,Fate,54
baobhan_sith_(chaldea_satellite_station)_(fate),baobhan_sith_(fate),1,Fate,54
nero_claudius_(bath_robe)_(fate),nero_claudius_(fate),1,Fate,53
edmond_dantes_(monte_cristo_uniform)_(fate),edmond_dantes_(fate),1,Fate,53
ibuki_douji_(first_ascension)_(fate),ibuki_douji_(fate),1,Fate,53
ortlinde_(swimsuit_assassin)_(fate),ortlinde_(fate),1,Fate,53
lakshmibai_(second_ascension)_(fate),lakshmibai_(fate),1,Fate,53
kazuradrop_(second_ascension)_(fate),kazuradrop_(fate),1,Fate,53
nagakura_shinpachi_(first_ascension)_(fate),nagakura_shinpachi_(fate),1,Fate,53
leonardo_da_vinci_(sister)_(fate),leonardo_da_vinci_(fate),1,Fate,53
mary_read_(third_ascension)_(fate),mary_read_(fate),1,Fate,53
brynhild_(third_ascension)_(fate),brynhild_(fate),1,Fate,53
scathach_(formal_dress)_(fate),scathach_(fate),1,Fate,52
qin_liangyu_(chainsaw_of_the_dead)_(fate),qin_liangyu_(fate),1,Fate,52
enkidu_(sensha_otoko)_(fate),enkidu_(fate),1,Fate,52
hildr_(swimsuit_assassin)_(fate),hildr_(fate),1,Fate,52
gareth_(swimsuit_saber)_(second_ascension)_(fate),gareth_(fate),1,Fate,52
baobhan_sith_(valentine_witches)_(fate),baobhan_sith_(fate),1,Fate,52
gareth_(second_ascension)_(fate),gareth_(fate),1,Fate,52
kriemhild_(swimsuit_rider)_(first_ascension)_(fate),kriemhild_(fate),1,Fate,52
romulus-quirinus_(third_ascension)_(fate),romulus-quirinus_(fate),1,Fate,52
marie_antoinette_(formal_dress)_(fate),marie_antoinette_(fate),1,Fate,51
francis_drake_(stormy_seas_outfit)_(fate),francis_drake_(fate),1,Fate,51
sigurd_(first_ascension)_(fate),sigurd_(fate),1,Fate,51
gareth_(swimsuit_saber)_(first_ascension)_(fate),gareth_(fate),1,Fate,51
kyokutei_bakin_(second_ascension)_(fate),kyokutei_bakin_(fate),1,Fate,51
tezcatlipoca_(young)_(fate),tezcatlipoca_(fate),1,Fate,51
miyamoto_iori_(phantasmal_dress)_(fate),miyamoto_iori_(fate),1,Fate,51
ozymandias_(first_ascension)_(fate),ozymandias_(fate),1,Fate,51
suzuka_gozen_(second_ascension)_(fate),suzuka_gozen_(fate),1,Fate,51
tenochtitlan_(third_ascension)_(fate),tenochtitlan_(fate),1,Fate,50
baobhan_sith_(dream_portrait)_(fate),baobhan_sith_(fate),1,Fate,50
barghest_(dream_portrait)_(fate),barghest_(fate),1,Fate,50
gorgon_(composite_deity_gorgon)_(fate),gorgon_(fate),1,Fate,50
sherlock_holmes_(third_ascension)_(fate),sherlock_holmes_(fate),1,Fate,50
kawakami_gensai_(third_ascension)_(fate),kawakami_gensai_(fate),1,Fate,50
nero_claudius_(idol_emperor)_(fate),nero_claudius_(fate),1,Fate,49
tomoe_gozen_(first_valentine)_(fate),tomoe_gozen_(fate),1,Fate,49
mysterious_heroine_xx_(second_ascension)_(fate),mysterious_heroine_xx_(fate),1,Fate,49
murasaki_shikibu_(second_ascension)_(fate),murasaki_shikibu_(fate),1,Fate,49
diarmuid_ua_duibhne_(lancer)_(third_ascension)_(fate),diarmuid_ua_duibhne_(fate),1,Fate,49
katou_danzou_(third_ascension)_(fate),katou_danzou_(fate),1,Fate,49
sherlock_holmes_(first_ascension)_(fate),sherlock_holmes_(fate),1,Fate,49
karna_(formal_dress)_(fate),karna_(fate),1,Fate,48
saber_(type-moon_racing)_(fate),saber_(fate),1,Fate,48
sakata_kintoki_(third_ascension)_(fate),sakata_kintoki_(fate),1,Fate,48
caenis_(first_ascension)_(fate),caenis_(fate),1,Fate,48
kazuradrop_(third_ascension)_(fate),kazuradrop_(fate),1,Fate,48
biscione_(second_ascension)_(fate),biscione_(fate),1,Fate,48
parvati_(third_ascension)_(fate),parvati_(fate),1,Fate,48
romulus_quirinus_(third_ascension)_(fate),romulus_quirinus_(fate),1,Fate,48
ishtar_(formal_dress)_(fate),ishtar_(fate),1,Fate,47
oberon_(overnight_dream)_(fate),oberon_(fate),1,Fate,47
enkidu_(talk_of_the_hot_sands)_(fate),enkidu_(fate),1,Fate,47
artemis_(third_ascension)_(fate),artemis_(fate),1,Fate,47
okada_izou_(third_ascension)_(fate),okada_izou_(fate),1,Fate,47
kama_(dream_portrait)_(fate),kama_(fate),1,Fate,47
lady_avalon_(event_portrait)_(fate),lady_avalon_(fate),1,Fate,47
suzuka_gozen_(swimsuit_rider)_(first_ascension)_(fate),suzuka_gozen_(fate),1,Fate,47
captain_nemo_(third_ascension)_(fate),captain_nemo_(fate),1,Fate,47
mandricardo_(summer_sportswear)_(fate),mandricardo_(fate),1,Fate,46
helena_blavatsky_(swimsuit_archer)_(second_ascension)_(fate),helena_blavatsky_(fate),1,Fate,46
tomoe_gozen_(swimsuit_saber)_(second_ascension)_(fate),tomoe_gozen_(fate),1,Fate,46
tutankhamun_(first_ascension)_(fate),tutankhamun_(fate),1,Fate,46
minamoto_no_raikou_(bunny_girl_style)_(fate),minamoto_no_raikou_(fate),1,Fate,46
edward_teach_(third_ascension)_(fate),edward_teach_(fate),1,Fate,46
tristan_(second_ascension)_(fate),tristan_(fate),1,Fate,46
anastasia_(third_ascension)_(fate),anastasia_(fate),1,Fate,46
voyager_(second_ascension)_(fate),voyager_(fate),1,Fate,45
semiramis_(third_ascension)_(fate),semiramis_(fate),1,Fate,45
ereshkigal_(youming_niangniang)_(fate),ereshkigal_(fate),1,Fate,44
nitocris_alter_(third_ascension)_(fate),nitocris_alter_(fate),1,Fate,44
dobrynya_nikitich_(third_ascension)_(fate),dobrynya_nikitich_(fate),1,Fate,44
typhon_ephemeros_(black_armor)_(fate),typhon_ephemeros_(fate),1,Fate,44
yang_guifei_(honey_lake)_(fate),yang_guifei_(fate),1,Fate,43
sitonai_(third_ascension)_(fate),sitonai_(fate),1,Fate,43
kingprotea_(third_ascension)_(fate),kingprotea_(fate),1,Fate,43
gilgamesh_(ruler)_(fate),gilgamesh_(fate),1,Fate,43
oda_nobukatsu_(third_ascension)_(fate),oda_nobukatsu_(fate),1,Fate,43
ptolemy_(first_ascension)_(fate),ptolemy_(fate),1,Fate,43
caenis_(bunny)_(fate),caenis_(fate),1,Fate,43
heracles_(third_ascension)_(fate),heracles_(fate),1,Fate,43
metatron_jeanne_(first_ascension)_(fate),metatron_jeanne_(fate),1,Fate,43
demeter_(second_ascension)_(fate),demeter_(fate),1,Fate,43
fergus_mac_roich_(young)_(fate),fergus_mac_roich_(fate),1,Fate,42
elizabeth_bathory_(japan)_(fate),elizabeth_bathory_(fate),1,Fate,42
paul_bunyan_(festival_outfit)_(fate),paul_bunyan_(fate),1,Fate,42
napoleon_bonaparte_(ladies_&_gentlemen)_(fate),napoleon_bonaparte_(fate),1,Fate,42
kiyohime_(kiyohime_in_ribbons)_(fate),kiyohime_(fate),1,Fate,42
oda_nobunaga_(swimsuit_berserker)_(third_ascension)_(fate),oda_nobunaga_(fate),1,Fate,42
bhima_(second_ascension)_(fate),bhima_(fate),1,Fate,42
durga_(second_ascension)_(fate),durga_(fate),1,Fate,42
barghest_(exhibition_attire)_(fate),barghest_(fate),1,Fate,42
sakamoto_ryouma_(lancer)_(first_ascension)_(fate),sakamoto_ryouma_(fate),1,Fate,42
indra_(celebratory_attire)_(fate),indra_(fate),1,Fate,42
martha_(under_the_same_sky)_(fate),martha_(fate),1,Fate,41
calamity_jane_(third_ascension)_(fate),calamity_jane_(fate),1,Fate,41
kijo_kouyou_(first_ascension)_(fate),kijo_kouyou_(fate),1,Fate,41
melusine_(dream_portrait)_(fate),melusine_(fate),1,Fate,41
anne_bonny_(third_ascension)_(fate),anne_bonny_(fate),1,Fate,41
billy_the_kid_(third_ascension)_(fate),billy_the_kid_(fate),1,Fate,41
cu_chulainn_(tropical_rune_summer)_(fate),cu_chulainn_(fate),1,Fate,41
kondou_isami_(first_ascension)_(fate),kondou_isami_(fate),1,Fate,41
martha_(aerial_drive)_(fate),martha_(fate),1,Fate,40
astolfo_(sugar_vacation)_(fate),astolfo_(fate),1,Fate,40
jeanne_d'arc_alter_(holy_night_supper)_(fate),jeanne_d'arc_alter_(fate),1,Fate,40
ushiwakamaru_(corrupted)_(fate),ushiwakamaru_(fate),1,Fate,40
suzuka_gozen_(third_ascension)_(fate),suzuka_gozen_(fate),1,Fate,40
space_ishtar_(astarte_origin)_(fate),space_ishtar_(fate),1,Fate,40
okita_souji_alter_(swimsuit_saber)_(second_ascension)_(fate),okita_souji_alter_(fate),1,Fate,40
ashiya_douman_(asagao-patterned_yukata)_(fate),ashiya_douman_(fate),1,Fate,40
yamato_takeru_(second_ascension)_(fate),yamato_takeru_(fate),1,Fate,40
astraea_(first_ascension)_(fate),astraea_(fate),1,Fate,40
saber_(first_ascension)_(fate),saber_(fate),1,Fate,40
karna_(celebratory_attire)_(fate),karna_(fate),1,Fate,40
kondou_isami_(white_kotetsu)_(fate),kondou_isami_(fate),1,Fate,40
hijikata_toshizou_(teal_haori_and_hakama)_(fate),hijikata_toshizou_(fate),1,Fate,40
anastasia_(shvibzik_snow)_(fate),anastasia_(fate),1,Fate,39
saber_(royal_dress)_(fate),saber_(fate),1,Fate,39
scathach_(makyou_sergeant)_(fate),scathach_(fate),1,Fate,39
leonardo_da_vinci_(swimsuit_ruler)_(final_ascension)_(fate),leonardo_da_vinci_(fate),1,Fate,39
xu_fu_(swimsuit_avenger)_(first_ascension)_(fate),xu_fu_(fate),1,Fate,39
karna_(summer_outfit)_(fate),karna_(fate),1,Fate,39
oda_nobukatsu_(second_ascension)_(fate),oda_nobukatsu_(fate),1,Fate,39
bradamante_(welcome_bunny)_(fate),bradamante_(fate),1,Fate,38
gilgamesh_(modern_costume_of_volupte)_(fate),gilgamesh_(fate),1,Fate,38
medusa_(lancer)_(final_ascension)_(fate),medusa_(fate),1,Fate,38
ushiwakamaru_(swimsuit_assassin)_(third_ascension)_(fate),ushiwakamaru_(fate),1,Fate,38
astraea_(second_ascension)_(fate),astraea_(fate),1,Fate,38
kama_(male)_(fate),kama_(fate),1,Fate,38
taisui_xingjun_(adult)_(fate),taisui_xingjun_(fate),1,Fate,38
abigail_williams_(celebratory_attire)_(fate),abigail_williams_(fate),1,Fate,38
abigail_williams_(tour_outfit)_(fate),abigail_williams_(fate),1,Fate,37
arjuna_alter_(student_council_president)_(fate),arjuna_alter_(fate),1,Fate,37
geronimo_(third_ascension)_(fate),geronimo_(fate),1,Fate,37
trung_trac_(first_ascension)_(fate),trung_trac_(fate),1,Fate,37
lady_avalon_(third_ascension)_(fate),lady_avalon_(fate),1,Fate,37
barghest_(third_ascension)_(fate),barghest_(fate),1,Fate,37
xu_fu_(swimsuit_avenger)_(third_ascension)_(fate),xu_fu_(fate),1,Fate,37
euryale_(formal_dress)_(fate),euryale_(fate),1,Fate,36
murasaki_shikibu_(purple_eye)_(fate),murasaki_shikibu_(fate),1,Fate,36
anastasia_(under_the_same_sky)_(fate),anastasia_(fate),1,Fate,36
ashiya_douman_(tour_outfit)_(fate),ashiya_douman_(fate),1,Fate,36
karna_(versus)_(fate),karna_(fate),1,Fate,36
koyanskaya_(indian_lostbelt_outfit)_(fate),koyanskaya_(fate),1,Fate,36
sei_shounagon_(third_ascension)_(fate),sei_shounagon_(fate),1,Fate,36
okita_j._souji_(second_ascension)_(fate),okita_j._souji_(fate),1,Fate,36
yui_shousetsu_(third_ascension)_(fate),yui_shousetsu_(fate),1,Fate,36
atalanta_(first_ascension)_(fate),atalanta_(fate),1,Fate,36
jeanne_d'arc_alter_(over_the_same_sky)_(fate),jeanne_d'arc_alter_(fate),1,Fate,36
hebi_nyoubou_(first_ascension)_(fate),hebi_nyoubou_(fate),1,Fate,36
shuten_douji_(under_the_same_sky)_(fate),shuten_douji_(fate),1,Fate,35
meltryllis_(tour_outfit)_(fate),meltryllis_(fate),1,Fate,35
ushiwakamaru_(tour_outfit)_(fate),ushiwakamaru_(fate),1,Fate,35
jeanne_d'arc_alter_santa_lily_(summer_little)_(fate),jeanne_d'arc_alter_santa_lily_(fate),1,Fate,35
diarmuid_ua_duibhne_(sensha_otoko)_(fate),diarmuid_ua_duibhne_(fate),1,Fate,35
minamoto_no_raikou_(exhibition_attire)_(fate),minamoto_no_raikou_(fate),1,Fate,35
jeanne_d'arc_alter_(seaside_sunset)_(fate),jeanne_d'arc_alter_(fate),1,Fate,35
lilith_(stormy_night)_(fate),lilith_(fate),1,Fate,35
archer_(modern_black_costume)_(fate),archer_(fate),1,Fate,34
angra_mainyu_(third_ascension)_(fate),angra_mainyu_(fate),1,Fate,34
melusine_(swimsuit_ruler)_(third_ascension)_(fate),melusine_(fate),1,Fate,34
jeanne_d'arc_alter_(flames_of_applause)_(fate),jeanne_d'arc_alter_(fate),1,Fate,34
leonardo_da_vinci_(mother)_(fate),leonardo_da_vinci_(fate),1,Fate,34
salome_(third_ascension)_(fate),salome_(fate),1,Fate,34
enkidu_(celebratory_attire)_(fate),enkidu_(fate),1,Fate,34
florence_nightingale_(divine_princess_of_the_storm)_(fate),florence_nightingale_(fate),1,Fate,33
nitocris_(lostroom_outfit)_(fate),nitocris_(fate),1,Fate,33
kama_(summer_enma-tei)_(fate),kama_(fate),1,Fate,33
tamamo_no_mae_(police_fox)_(fate),tamamo_no_mae_(fate),1,Fate,33
nero_claudius_(type-moon_racing)_(fate),nero_claudius_(fate),1,Fate,33
yan_qing_(training_wear)_(fate),yan_qing_(fate),1,Fate,33
yang_guifei_(event_portrait)_(fate),yang_guifei_(fate),1,Fate,33
ushi_gozen_(avenger)_(third_ascension)_(fate),ushi_gozen_(fate),1,Fate,33
oberon_(exhibition_attire)_(fate),oberon_(fate),1,Fate,33
sakamoto_ryouma_(lancer)_(second_ascension)_(fate),sakamoto_ryouma_(fate),1,Fate,33
miyamoto_iori_(celebratory_attire)_(fate),miyamoto_iori_(fate),1,Fate,33
larva_tiamat_(swimsuit_archer)_(second_ascension)_(fate),larva_tiamat_(fate),1,Fate,33
lord_logres_(third_ascension)_(fate),lord_logres_(fate),1,Fate,33
john_lackland_(third_ascension)_(fate),john_lackland_(fate),1,Fate,33
martha_(traveling_outfit)_(fate),martha_(fate),1,Fate,32
amakusa_shirou_(phantom_thief)_(fate),amakusa_shirou_(fate),1,Fate,32
saber_(lapis_lazuli_dress)_(fate),saber_(fate),1,Fate,32
jing_ke_(water_shine)_(fate),jing_ke_(fate),1,Fate,32
jaguarman_(third_ascension)_(fate),jaguarman_(fate),1,Fate,32
rengoku_(second_ascension)_(fate),rengoku_(fate),1,Fate,32
barghest_(celebratory_attire)_(fate),barghest_(fate),1,Fate,32
noah_(first_ascension)_(fate),noah_(fate),1,Fate,32
tomoe_gozen_(festival_outfit)_(fate),tomoe_gozen_(fate),1,Fate,31
bradamante_(festival_outfit)_(fate),bradamante_(fate),1,Fate,31
xuangzang_sanzang_(white_cruising)_(fate),xuangzang_sanzang_(fate),1,Fate,31
taira_no_kagekiyo_(pinky_beach)_(fate),taira_no_kagekiyo_(fate),1,Fate,31
van_gogh_(sink_deeper)_(fate),van_gogh_(fate),1,Fate,31
mysterious_heroine_xx_(first_ascension)_(fate),mysterious_heroine_xx_(fate),1,Fate,31
trung_nhi_(first_ascension)_(fate),trung_nhi_(fate),1,Fate,31
florence_nightingale_(santa)_(final_ascension)_(fate),florence_nightingale_(fate),1,Fate,31
nero_claudius_(traveling_outfit)_(fate),nero_claudius_(fate),1,Fate,30
himiko_(tour_outfit)_(fate),himiko_(fate),1,Fate,30
thrud_(ring_the_bell)_(fate),thrud_(fate),1,Fate,30
ishtar_(bitter_sweet)_(fate),ishtar_(fate),1,Fate,30
gilgamesh_(excited_swimmer)_(fate),gilgamesh_(fate),1,Fate,30
jeanne_d'arc_(april_magical)_(fate),jeanne_d'arc_(fate),1,Fate,30
trung_nhi_(third_ascension)_(fate),trung_nhi_(fate),1,Fate,30
trung_trac_(third_ascension)_(fate),trung_trac_(fate),1,Fate,30
kukulkan_(third_ascension)_(fate),kukulkan_(fate),1,Fate,30
tezcatlipoca_(summer_break)_(fate),tezcatlipoca_(fate),1,Fate,30
izumo_no_okuni_(third_ascension)_(fate),izumo_no_okuni_(fate),1,Fate,30
sen_no_rikyu_(exhibition_attire)_(fate),sen_no_rikyu_(fate),1,Fate,30
mori_nagayoshi_(first_ascension)_(fate),mori_nagayoshi_(fate),1,Fate,30
oryou_(lancer)_(first_ascension)_(fate),oryou_(fate),1,Fate,30
cu_chulainn_alter_(formal_dress)_(fate),cu_chulainn_alter_(fate),1,Fate,29
edward_teach_(midsummer_gentleman)_(fate),edward_teach_(fate),1,Fate,29
ortlinde_(ring_the_bell)_(fate),ortlinde_(fate),1,Fate,29
cu_chulainn_alter_(curruid_coinchenn)_(fate),cu_chulainn_alter_(fate),1,Fate,29
artoria_pendragon_(lancer)_(first_ascension)_(fate),artoria_pendragon_(fate),1,Fate,29
anne_bonny_(swimsuit_archer)_(second_ascension)_(fate),anne_bonny_(fate),1,Fate,29
dobrynya_nikitich_(swimsuit_lancer)_(second_ascension)_(fate),dobrynya_nikitich_(fate),1,Fate,29
saber_(third_ascension)_(fate),saber_(fate),1,Fate,29
barghest_(over_the_same_sky)_(fate),barghest_(fate),1,Fate,29
huyan_zhuo_(celebratory_attire)_(fate),huyan_zhuo_(fate),1,Fate,29
okita_souji_(celebratory_attire)_(fate),okita_souji_(fate),1,Fate,29
tiamat_(swimsuit_archer)_(first_ascension)_(fate),tiamat_(fate),1,Fate,29
tamamo_no_mae_(type-moon_racing)_(fate),tamamo_no_mae_(fate),1,Fate,28
li_shuwen_(young)_(third_ascension)_(fate),li_shuwen_(fate),1,Fate,28
atalanta_alter_(third_ascension)_(fate),atalanta_alter_(fate),1,Fate,28
asclepius_(summer_rescue)_(fate),asclepius_(fate),1,Fate,28
miyamoto_musashi_(exhibition_attire)_(fate),miyamoto_musashi_(fate),1,Fate,28
duryodhana_(third_ascension)_(fate),duryodhana_(fate),1,Fate,28
the_count_of_monte_cristo_(exhibition_attire)_(fate),the_count_of_monte_cristo_(fate),1,Fate,28
cu_chulainn_(fish_shop_apron)_(fate),cu_chulainn_(fate),1,Fate,28
cu_chulainn_(honkai:_star_rail)_(fate),cu_chulainn_(fate),1,Fate,28
artoria_pendragon_(lancer)_(second_ascension)_(fate),artoria_pendragon_(fate),1,Fate,28
wu_zetian_(second_ascension)_(fate),wu_zetian_(fate),1,Fate,28
melusine_(celebratory_attire)_(fate),melusine_(fate),1,Fate,28
mordred_(true_samadhi_fire)_(fate),mordred_(fate),1,Fate,27
leonardo_da_vinci_(witch_of_moonlit_night)_(fate),leonardo_da_vinci_(fate),1,Fate,27
kiyohime_(winter_thanksgiving_festival)_(fate),kiyohime_(fate),1,Fate,27
koyanskaya_(russian_lostbelt_outfit)_(fate),koyanskaya_(fate),1,Fate,27
leonardo_da_vinci_(rider)_(third_ascension)_(fate),leonardo_da_vinci_(fate),1,Fate,27
mary_read_(swimsuit_archer)_(third_ascension)_(fate),mary_read_(fate),1,Fate,27
mochizuki_chiyome_(third_ascension)_(fate),mochizuki_chiyome_(fate),1,Fate,27
florence_nightingale_(manor_of_repose)_(fate),florence_nightingale_(fate),1,Fate,27
xu_fu_(event_portrait)_(fate),xu_fu_(fate),1,Fate,27
osakabehime_(traveling_outfit)_(fate),osakabehime_(fate),1,Fate,27
tezcatlipoca_(ancient_mexico_exhibition)_(fate),tezcatlipoca_(fate),1,Fate,27
indra_(third_ascension)_(fate),indra_(fate),1,Fate,27
arjuna_(celebratory_attire)_(fate),arjuna_(fate),1,Fate,27
passionlip_(swimsuit_saber)_(second_ascension)_(fate),passionlip_(fate),1,Fate,27
queen_of_sheba_(dollar-cent_shop)_(fate),queen_of_sheba_(fate),1,Fate,26
arjuna_alter_(festival_outfit)_(fate),arjuna_alter_(fate),1,Fate,26
nursery_rhyme_(summer_little)_(fate),nursery_rhyme_(fate),1,Fate,26
kiyohime_(the_faithful_dog_who_waits)_(fate),kiyohime_(fate),1,Fate,26
marie_antoinette_(fgo_orchestra)_(fate),marie_antoinette_(fate),1,Fate,26
anne_bonny_(swimsuit_archer)_(third_ascension)_(fate),anne_bonny_(fate),1,Fate,26
paul_bunyan_(second_ascension)_(fate),paul_bunyan_(fate),1,Fate,26
kriemhild_(love_delusion)_(fate),kriemhild_(fate),1,Fate,26
charlemagne_(third_ascension)_(fate),charlemagne_(fate),1,Fate,26
charlemagne_(disguise_costume)_(fate),charlemagne_(fate),1,Fate,26
tenochtitlan_(cactus_city)_(fate),tenochtitlan_(fate),1,Fate,26
komahime_(exhibition_attire)_(fate),komahime_(fate),1,Fate,26
percival_(summer_knight_outfit)_(fate),percival_(fate),1,Fate,26
tiamat_(dragon)_(fate),tiamat_(fate),1,Fate,26
abigail_williams_(welcome_to_the_traveling_circus!)_(fate),abigail_williams_(fate),1,Fate,26
chevalier_d'eon_(third_ascension)_(fate),chevalier_d'eon_(fate),1,Fate,26
gilgamesh_(uruk_costume)_(fate),gilgamesh_(fate),1,Fate,26
sakamoto_ryouma_(lancer)_(third_ascension)_(fate),sakamoto_ryouma_(fate),1,Fate,26
kriemhild_(swimsuit_rider)_(second_ascension)_(fate),kriemhild_(fate),1,Fate,26
elizabeth_bathory_(perfect)_(third_ascension)_(fate),elizabeth_bathory_(fate),1,Fate,26
mordred_(young)_(fate),mordred_(fate),1,Fate,26
saber_(formal_dress)_(fate),saber_(fate),1,Fate,25
arjuna_(formal_dress)_(fate),arjuna_(fate),1,Fate,25
miyamoto_musashi_(knowing_the_way_broadly)_(fate),miyamoto_musashi_(fate),1,Fate,25
jeanne_d'arc_(lostroom_outfit)_(fate),jeanne_d'arc_(fate),1,Fate,25
hildr_(ring_the_bell)_(fate),hildr_(fate),1,Fate,25
martha_(holy_maiden's_teaching)_(fate),martha_(fate),1,Fate,25
katou_danzou_(midsummer_memories)_(fate),katou_danzou_(fate),1,Fate,25
astolfo_(femboy_idol)_(fate),astolfo_(fate),1,Fate,25
koyanskaya_(british_lostbelt_outfit)_(fate),koyanskaya_(fate),1,Fate,25
kyokutei_bakin_(third_ascension)_(fate),kyokutei_bakin_(fate),1,Fate,25
kriemhild_(third_ascension)_(fate),kriemhild_(fate),1,Fate,25
taira_no_kagekiyo_(first_ascension)_(fate),taira_no_kagekiyo_(fate),1,Fate,25
sugitani_zenjubou_(first_ascension)_(fate),sugitani_zenjubou_(fate),1,Fate,25
locusta_(third_ascension)_(fate),locusta_(fate),1,Fate,25
brynhild_(swimsuit_berserker)_(second_ascension)_(fate),brynhild_(fate),1,Fate,25
charlemagne_(second_ascension)_(fate),charlemagne_(fate),1,Fate,25
artoria_pendragon_(ox-demon_king)_(fate),artoria_pendragon_(fate),1,Fate,25
child_gilgamesh_(third_ascension)_(fate),child_gilgamesh_(fate),1,Fate,25
taigong_wang_(third_ascension)_(fate),taigong_wang_(fate),1,Fate,25
astolfo_(otokonoko_idol)_(fate),astolfo_(fate),1,Fate,25
nero_claudius_(return_match)_(fate),nero_claudius_(fate),1,Fate,24
wu_zetian_(seaside_luxury)_(fate),wu_zetian_(fate),1,Fate,24
cleopatra_(seaside_luxury)_(fate),cleopatra_(fate),1,Fate,24
merlin_(overnight_dream)_(fate),merlin_(fate),1,Fate,24
ushiwakamaru_(swimsuit_assassin)_(second_ascension)_(fate),ushiwakamaru_(fate),1,Fate,24
charlotte_corday_(swimsuit_caster)_(third_ascension)_(fate),charlotte_corday_(fate),1,Fate,24
okita_souji_(dream_portrait)_(fate),okita_souji_(fate),1,Fate,24
miss_crane_(first_ascension)_(fate),miss_crane_(fate),1,Fate,24
miss_crane_(third_ascension)_(fate),miss_crane_(fate),1,Fate,24
ibuki_douji_(avatar_of_the_great_serpent_god)_(fate),ibuki_douji_(fate),1,Fate,24
sugitani_zenjubou_(third_ascension)_(fate),sugitani_zenjubou_(fate),1,Fate,24
anastasia_(fgo_fes._2018)_(fate),anastasia_(fate),1,Fate,24
david_(third_ascension)_(fate),david_(fate),1,Fate,24
cu_chulainn_(flower_shop_apron)_(fate),cu_chulainn_(fate),1,Fate,24
fuuma_kotarou_(shinobi_attire_for_summer_enjoyment)_(fate),fuuma_kotarou_(fate),1,Fate,23
prince_of_lan_ling_(festival_outfit)_(fate),prince_of_lan_ling_(fate),1,Fate,23
tamamo_no_mae_(traveling_outfit)_(fate),tamamo_no_mae_(fate),1,Fate,23
oda_nobukatsu_(tour_outfit)_(fate),oda_nobukatsu_(fate),1,Fate,23
altera_(lostroom_outfit)_(fate),altera_(fate),1,Fate,23
